"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZR_RADIO_500","Рація OZ-COM Базар","OZ-COM Bazar radio","Рація OZ-COM Базар","Рація OZ-COM Базар","Рація OZ-COM Базар","Рація OZ-COM Базар","Рація OZ-COM Базар","Рація OZ-COM Базар","Рація OZ-COM Базар","Рація OZ-COM Базар","Рація OZ-COM Базар","Рація OZ-COM Базар","Рація OZ-COM Базар","Рація OZ-COM Базар",
"STR_OZR_RADIO_1000","Рація OZ-COM Балаболка","OZ-COM Balabolka radio","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка","Рація OZ-COM Балаболка",
"STR_OZR_RADIO_5000","Рація OZ-COM Терран","OZ-COM Terran radio","Рація OZ-COM Терран","Рація OZ-COM Терран","Рація OZ-COM Терран","Рація OZ-COM Терран","Рація OZ-COM Терран","Рація OZ-COM Терран","Рація OZ-COM Терран","Рація OZ-COM Терран","Рація OZ-COM Терран","Рація OZ-COM Терран","Рація OZ-COM Терран","Рація OZ-COM Терран",
"STR_OZR_RADIO_DESC_250","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","A toy PMR walkie-talkie, battered and grimy. Reaches only 250 m - enough to call across a camp. No digits: the arrows switch the channel at once; a button turns it on.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.","Дитяча PMR-рація, побита й замурзана. Дістає лише до 250 м - досить, щоб перегукнутися в таборі. Цифр немає: стрілки одразу перемикають канал, вмикається кнопкою.",
"STR_OZR_RADIO_DESC_500","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","A consumer handheld for hikes and markets. Reaches 500 m - a few blocks or across a clearing. The arrows switch the channel; there is no frequency to type.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.","Побутова рація для походів і базарів. Дістає до 500 м - на кілька кварталів чи через галявину. Канал перемикають стрілки, частоту не набирають.",
"STR_OZR_RADIO_DESC_1000","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","A cheap dual-band handheld with a keypad - there is one in every other backpack. Reaches 1 km. Type the frequency and confirm with MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Дешева дводіапазонна рація з клавіатурою, така є в кожному другому рюкзаку. Дістає до 1 км. Частоту набирають цифрами й підтверджують кнопкою MENU.",
"STR_OZR_RADIO_DESC_2000","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","A rugged olive dual-band handheld in a rubberised case. Reaches 2 km. Type the frequency and confirm with MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.","Міцна оливкова дводіапазонна рація в прогумованому корпусі. Дістає до 2 км. Частоту набирають цифрами й підтверджують кнопкою MENU.",
"STR_OZR_RADIO_DESC_5000","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","A service radio with a dot-matrix screen and a joystick - the kind rescuers and guards carried. Reaches 5 km. Type the frequency and confirm with the key right of the joystick.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.","Службова рація з точковим екраном і джойстиком - з такими ходили рятувальники й охорона. Дістає до 5 км. Частоту набирають цифрами й підтверджують клавішею праворуч від джойстика.",
"STR_OZR_RADIO_DESC_10000","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","A military manpack handset with a long whip antenna. Reaches 10 km - farther than any other. Type the frequency and confirm with ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.","Армійська носима станція з довгою антеною. Дістає до 10 км - далі за всіх. Частоту набирають цифрами й підтверджують кнопкою ENT.",
"oz_input_radio_freq","Рація: клавіатура частоти","Radio: frequency keypad","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти",
